Ángulo del crista	Tasa con 23kV	Tasa con 25kV	Tasa con 27kV	Tasa con 29kV	Tasa con 31kV	Tasa con 33kV	Tasa con 35kV
16,6	4,0	6,0	6,0	5,0	8,0	6,0	7,0
16,7	3,0	6,0	2,0	5,0	5,0	10,0	9,0
16,8	4,0	4,0	3,0	7,0	7,0	7,0	8,0
16,9	3,0	2,0	8,0	7,0	5,0	9,0	5,0
17,0	3,0	3,0	6,0	0,0	9,0	8,0	11,0
17,1	2,0	2,0	2,0	6,0	6,0	9,0	13,0
17,2	2,0	4,0	3,0	11,0	8,0	7,0	10,0
17,3	2,0	4,0	4,0	6,0	5,0	6,0	11,0
17,4	3,0	3,0	9,0	3,0	7,0	13,0	12,0
17,5	2,0	3,0	4,0	7,0	7,0	11,0	10,0
17,6	4,0	4,0	5,0	7,0	10,0	8,0	14,0
17,7	3,0	5,0	7,0	6,0	6,0	7,0	8,0
17,8	5,0	0,0	3,0	7,0	7,0	8,0	0,0
17,9	4,0	2,0	3,0	7,0	9,0	10,0	9,0
18,0	1,0	5,0	4,0	5,0	9,0	7,0	10,0
18,1	3,0	2,0	3,0	3,0	5,0	12,0	10,0
18,2	2,0	1,0	3,0	6,0	9,0	8,0	8,0
18,3	5,0	3,0	7,0	6,0	4,0	8,0	12,0
18,4	4,0	5,0	5,0	9,0	6,0	12,0	7,0
18,5	3,0	5,0	4,0	6,0	8,0	7,0	10,0
18,6	7,0	9,0	9,0	18,0	17,0	20,0	26,0
18,7	6,0	4,0	4,0	6,0	15,0	16,0	15,0
18,8	4,0	5,0	4,0	10,0	10,0	6,0	14,0
18,9	5,0	2,0	5,0	4,0	5,0	10,0	11,0
19,0	4,0	2,0	5,0	7,0	9,0	11,0	17,0
19,1	4,0	4,0	5,0	4,0	7,0	7,0	11,0
19,2	2,0	5,0	4,0	7,0	9,0	7,0	10,0
19,3	2,0	4,0	4,0	9,0	5,0	10,0	9,0
19,4	3,0	4,0	5,0	8,0	7,0	11,0	13,0
19,5	3,0	6,0	5,0	8,0	5,0	8,0	10,0
19,6	4,0	5,0	7,0	7,0	7,0	9,0	10,0
19,7	1,0	5,0	6,0	5,0	8,0	8,0	12,0
19,8	2,0	5,0	3,0	9,0	8,0	12,0	9,0
19,9	3,0	3,0	8,0	7,0	6,0	10,0	14,0
20,0	3,0	5,0	8,0	3,0	12,0	8,0	11,0
20,1	4,0	4,0	4,0	5,0	8,0	10,0	7,0
20,2	3,0	5,0	4,0	4,0	7,0	9,0	11,0
20,3	3,0	8,0	7,0	6,0	3,0	11,0	9,0
20,4	4,0	2,0	6,0	4,0	6,0	7,0	8,0
20,5	2,0	8,0	6,0	7,0	8,0	9,0	11,0
20,6	6,0	5,0	5,0	3,0	7,0	6,0	10,0
20,7	2,0	3,0	7,0	4,0	9,0	11,0	12,0
20,8	3,0	5,0	6,0	5,0	8,0	11,0	12,0
20,9	12,0	21,0	22,0	29,0	41,0	51,0	50,0
21,0	8,0	11,0	13,0	18,0	14,0	23,0	35,0
21,1	4,0	8,0	4,0	10,0	8,0	13,0	16,0
21,2	3,0	6,0	2,0	4,0	9,0	8,0	9,0
21,3	4,0	4,0	4,0	6,0	9,0	8,0	8,0
21,4	3,0	6,0	4,0	9,0	7,0	7,0	9,0
21,5	1,0	1,0	6,0	7,0	6,0	9,0	9,0
21,6	7,0	5,0	5,0	5,0	8,0	8,0	12,0
21,7	5,0	6,0	4,0	5,0	8,0	5,0	11,0
21,8	3,0	4,0	4,0	4,0	10,0	9,0	8,0
21,9	3,0	5,0	6,0	6,0	9,0	8,0	12,0
22,0	4,0	4,0	4,0	8,0	7,0	9,0	13,0
22,1	5,0	5,0	5,0	6,0	3,0	7,0	6,0
22,2	4,0	4,0	6,0	7,0	5,0	9,0	9,0
22,3	3,0	2,0	2,0	2,0	10,0	8,0	10,0
22,4	2,0	4,0	4,0	3,0	6,0	9,0	9,0
22,5	4,0	5,0	3,0	4,0	4,0	12,0	9,0
22,6	2,0	3,0	4,0	6,0	4,0	5,0	7,0
22,7	4,0	2,0	5,0	8,0	4,0	11,0	10,0
22,8	1,0	3,0	2,0	9,0	8,0	10,0	12,0
22,9	3,0	4,0	4,0	7,0	6,0	8,0	8,0
23,0	5,0	3,0	5,0	5,0	12,0	10,0	14,0
23,1	4,0	8,0	5,0	7,0	6,0	10,0	6,0
23,2	4,0	1,0	5,0	5,0	9,0	8,0	8,0
23,3	2,0	4,0	4,0	4,0	2,0	4,0	9,0
23,4	3,0	5,0	3,0	6,0	10,0	12,0	14,0
23,5	3,0	5,0	3,0	9,0	10,0	5,0	6,0
23,6	4,0	3,0	6,0	5,0	7,0	10,0	10,0
23,7	2,0	2,0	3,0	8,0	6,0	8,0	9,0
23,8	5,0	1,0	7,0	7,0	7,0	7,0	11,0
23,9	3,0	8,0	4,0	6,0	10,0	7,0	10,0
24,0	3,0	3,0	6,0	5,0	7,0	9,0	8,0
24,1	4,0	2,0	7,0	5,0	9,0	10,0	11,0
24,2	3,0	4,0	6,0	8,0	5,0	6,0	11,0
24,3	4,0	3,0	4,0	5,0	7,0	6,0	8,0
24,4	0,0	7,0	7,0	7,0	6,0	6,0	10,0
24,5	3,0	4,0	8,0	7,0	6,0	8,0	9,0
24,6	3,0	3,0	6,0	6,0	9,0	11,0	7,0
24,7	3,0	5,0	4,0	4,0	7,0	9,0	11,0
24,8	3,0	3,0	2,0	8,0	7,0	7,0	7,0
24,9	2,0	3,0	3,0	8,0	3,0	6,0	11,0
25,0	3,0	3,0	9,0	5,0	5,0	8,0	6,0
